Data,Fase,Categoria,Tema,Visualizacoes,Curtidas,Comentarios,Compartilhamentos,Engajamento
2024-03-27,filiacao,filiacao,Filiação ao Progressistas (PP),9300,389,144,0,533
2024-03-27,pre-campanha,administrativo,Convocação: sessão ordinária 27/03,1500,32,2,0,34
2024-04-01,pre-campanha,administrativo,Convocação: sessão extraordinária 01/04,1500,38,2,0,40
2024-04-02,pre-campanha,administrativo,"Ofício 001/2024, auxílio transporte escolar",4000,179,17,0,196
2024-04-08,pre-campanha,administrativo,"Vídeo 92, esclarecimentos sessão extraordinária 01/04",2300,100,5,0,105
2024-04-10,pre-campanha,administrativo,Convocação: sessão ordinária 10/04,1500,30,4,0,34
2024-04-10,pre-campanha,administrativo,Sessão ordinária (vereador),2500,75,4,0,79
2024-04-17,lancamento,evento,Convite: espero vocês amanhã (Cachoeira Piripitinga),4100,71,5,0,76
2024-04-18,pre-campanha,administrativo,"Vídeo 93, esclarecimentos sessão 10/04",1500,52,0,0,52
2024-04-22,pre-campanha,administrativo,Sessão ordinária,1500,27,2,0,29
2024-04-23,pre-campanha,evento,"Viagem a Brasília, pleito de recursos",5100,185,32,1,218
2024-04-23,pre-campanha,evento,Agendas nos gabinetes dos deputados federais (Brasília),5000,158,17,1,176
2024-04-24,pre-campanha,evento,Registro viagem a Brasília,18900,567,101,0,668
2024-04-29,pre-campanha,administrativo,"Vídeo 94, esclarecimentos sessão 22/04",637,53,3,0,56
2024-05-01,campanha,evento,Registro da convenção partidária,7500,201,16,0,217
2024-05-06,pre-campanha,midia,Hugo Luiz lidera pesquisa (matéria Aqui Notícias),9500,415,122,0,537
2024-05-08,pre-campanha,administrativo,Convocação: sessão ordinária 08/05 (2º post),1500,24,2,0,26
2024-05-12,pre-campanha,data-comemorativa,"Parabéns, professora Sílvia (feliz dia das mães)",2000,247,25,0,272
2024-05-15,pre-campanha,administrativo,Esclarecimentos sessão ordinária,655,37,0,0,37
2024-05-16,pre-campanha,coligacao,Reunião pré-candidatos PP/Republicanos,7200,251,33,0,284
2024-05-22,pre-campanha,administrativo,Sessão ordinária,2900,35,4,0,39
2024-05-27,pre-campanha,proposta,"PLCL 002/2024, isenção de IPTU para vítimas de enchentes",8800,171,16,1,188
2024-05-29,pre-campanha,administrativo,Esclarecimentos sessão ordinária,2900,121,4,1,126
2024-05-30,pre-campanha,testemunho,Quem sou eu (depoimento pessoal),13000,625,91,0,716
2024-06-04,pre-campanha,administrativo,Sessão ordinária,8800,31,4,0,35
2024-06-05,pre-campanha,administrativo,Convite: espero vocês em breve (Cachoeira Piripitinga),13000,300,31,0,331
2024-06-07,lancamento,evento,Lançamento da pré-candidatura (discurso),11600,479,124,2,605
2024-06-07,lancamento,evento,Lançamento: decisão muito clara pela autonomia municipal,6400,298,64,0,362
2024-06-08,lancamento,evento,Lançamento da pré-candidatura (registro do evento),6200,359,11,0,370
2024-06-09,lancamento,proposta,Alfredo Chaves merece liderança nova,9600,310,19,0,329
2024-06-12,lancamento,midia,Repercussão na mídia do lançamento,8000,85,12,0,97
2024-06-14,lancamento,administrativo,Sessão ordinária,900,85,6,0,91
2024-06-19,lancamento,administrativo,Convocação: sessão ordinária 19/06,1500,35,1,0,36
2024-06-19,lancamento,resposta-ataque,Não acredite em conversa fiada,20600,260,38,0,298
2024-06-20,lancamento,evento,Convite reunião com comerciantes,10700,91,12,0,103
2024-06-26,lancamento,administrativo,Esclarecimentos sessão ordinária,4300,174,16,0,190
2024-07-05,campanha,data-comemorativa,Muitos de nós descendemos da Itália (herança cultural),12300,266,20,0,286
2024-07-10,campanha,resposta-ataque,Não sou novato no assunto de gestão pública,23900,118,20,0,138
2024-07-16,pre-campanha,resposta-ataque,#TáNaMídia: rodovia sem pavimentação trava desenvolvimento,5000,154,23,0,177
2024-07-16,campanha,proposta,Carreira baseada em fiscalização,18400,306,60,0,366
2024-07-20,campanha,proposta,"Raízes fortes, bons frutos (propostas de governo)",7200,279,58,0,337
