Ano,Candidato,Nome_Completo,Partido,Lado,Votos,Pct_Votos_Validos,Resultado,Idade,Genero,Escolaridade,Ocupacao,Patrimonio_Declarado,Receita_Declarada,Despesa_Paga,Custo_Por_Voto,Eleicao_Candidato,Ordem
2004,Dr. Fernando,Fernando Videira Lafayette,PSB,Principal oposição,5330,66.9,Eleito,56,Masculino,Superior completo,Médico,,34050.0,34030.47,6.38,2004 · Dr. Fernando (PSB),1
2004,Jorge Meneghel,Jorge Gabriel Meneghel,PT,Grupo,2107,26.4,Não eleito,37,Masculino,Superior completo,Professor de 1º e 2º graus,,15682.0,15682.0,7.44,2004 · Jorge Meneghel (PT),2
2004,Luiz Teixeira,Luiz Roberto Teixeira De Siqueira,PV,Demais candidatos,299,3.8,Não eleito,50,Masculino,Superior completo,Advogado,,,,,2004 · Luiz Teixeira (PV),3
2004,Nelsão Togneri,Nelson Togneri Andreati,PFL,Demais candidatos,236,3.0,Não eleito,41,Masculino,Médio completo,Técnico em edificações,,3010.0,2938.82,12.45,2004 · Nelsão Togneri (PFL),4
2008,Dr. Fernando,Fernando Videira Lafayette,PSB,Principal oposição,5996,66.9,Eleito,60,Masculino,Superior completo,Médico,53416.240000000005,82793.95,82793.95,13.81,2008 · Dr. Fernando (PSB),5
2008,Daniel Orlandi,Daniel Orlandi,PSDB,Grupo,2969,33.1,Não eleito,40,Masculino,Médio completo,Agricultor,15000.0,39651.21,39651.21,13.36,2008 · Daniel Orlandi (PSDB),6
2012,Roberto Fiorin,Roberto Fortunato Fiorin,PSB,Principal oposição,5615,63.6,Eleito,53,Masculino,Superior completo,Servidor público federal,284405.77,30162.5,55800.29,9.94,2012 · Roberto Fiorin (PSB),7
2012,Sergio Bianchi,Sergio Bianchi,PSD,Grupo,3215,36.4,Não eleito,50,Masculino,Fundamental incompleto,Vereador,20000.0,6780.45,7043.6,2.19,2012 · Sergio Bianchi (PSD),8
2016,Dr. Fernando,Fernando Videira Lafayette,PSB,Principal oposição,5019,52.0,Eleito,68,Masculino,Superior completo,Médico,410500.0,75501.05,75501.05,15.04,2016 · Dr. Fernando (PSB),9
2016,Ronaldo Bianchi,Ronaldo Bianchi,PMDB,Grupo,4641,48.0,Não eleito,54,Masculino,Médio completo,Empresário,428561.02,49430.0,49430.0,10.65,2016 · Ronaldo Bianchi (PMDB),10
2020,Dr. Fernando,Fernando Videira Lafayette,PSB,Principal oposição,5196,56.4,Eleito,72,Masculino,Superior completo,Prefeito,620761.34,108642.29,102342.29,19.7,2020 · Dr. Fernando (PSB),11
2020,Ronaldo Bianchi,Ronaldo Bianchi,Republicanos,Grupo,3681,40.0,Não eleito,58,Masculino,Médio completo,Empresário,366381.24,53120.0,50000.0,13.58,2020 · Ronaldo Bianchi (Republicanos),12
2020,Armando Zanata,Armando Nolasco Ribeiro,PDT,Demais candidatos,336,3.6,Não eleito,64,Masculino,Médio incompleto,Empresário,1380000.0,32722.09,26999.56,80.36,2020 · Armando Zanata (PDT),13
2024,Hugo Luiz,Hugo Luiz Picoli Meneghel,PP,Grupo,5779,58.1,Eleito,25,Masculino,Superior completo,Advogado,29573.27,155597.43,154237.43,26.69,2024 · Hugo Luiz (PP),14
2024,Rolmar Boteccia,Rolmar Botecchia,PSB,Principal oposição,3177,31.9,Não eleito,71,Masculino,Médio completo,Pecuarista,718420.79,119400.0,115000.0,36.2,2024 · Rolmar Boteccia (PSB),15
2024,Boldrini,Luiz Claudio Boldrini,PL,Demais candidatos,999,10.0,Não eleito,61,Masculino,Médio completo,Comerciante,0.0,141130.0,141130.0,141.27,2024 · Boldrini (PL),16
