Secao,Votos_2020,Total_2020,Votos_2024,Total_2024,Pct_2020,Pct_2024,Variacao_pp,Vencedor_2020,Vencedor_2024,Local_Votacao,Endereco,Virou
1,110.0,306.0,111,225,35.9,49.3,13.4,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,Não virou
2,131.0,317.0,126,239,41.3,52.7,11.4,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,Virou para o grupo
3,125.0,323.0,117,236,38.7,49.6,10.9,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,Não virou
4,123.0,313.0,128,228,39.3,56.1,16.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,Virou para o grupo
5,,,126,222,,56.8,,,Hugo Luiz Picoli Meneghel,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,
6,86.0,215.0,106,204,40.0,52.0,12.0,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
7,127.0,315.0,138,243,40.3,56.8,16.5,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
8,100.0,234.0,111,213,42.7,52.1,9.4,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
9,142.0,259.0,191,279,54.8,68.5,13.7,Ronaldo Bianchi,Hugo Luiz Picoli Meneghel,EMEF FAZENDA APARECIDA,"R. PRINCIPAL, S/ Nº",Não virou
10,77.0,247.0,112,255,31.2,43.9,12.7,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEF DE CRUBIXÁ,"R. PRINCIPAL, S/ Nº",Não virou
11,79.0,242.0,116,261,32.6,44.4,11.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEF DE CRUBIXÁ,"R. PRINCIPAL, S/ Nº",Não virou
12,124.0,304.0,177,282,40.8,62.8,22.0,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ENGANO,"R. PRINCIPAL, S/N",Virou para o grupo
13,110.0,300.0,208,333,36.7,62.5,25.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF ENGANO,"R. PRINCIPAL, S/N",Virou para o grupo
14,91.0,199.0,99,191,45.7,51.8,6.1,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO DA IGREJA CATÓLICA DE SÃO FRANCISCO DE BATATAL,"RUA PRINCIPAL, S/ N",Virou para o grupo
15,60.0,179.0,86,175,33.5,49.1,15.6,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO DA IGREJA DE SÃO MARTINHO,"R. PRINCIPAL, S/ N",Não virou
16,77.0,220.0,90,217,35.0,41.5,6.5,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,PRÉDIO DA ANTIGA ESCOLA ALMERINDA BRUNORO,"R. PRINCIPAL, S/ N",Não virou
17,107.0,246.0,155,248,43.5,62.5,19.0,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N",Virou para o grupo
18,94.0,242.0,160,264,38.8,60.6,21.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N",Virou para o grupo
19,62.0,180.0,99,183,34.4,54.1,19.7,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO COMUNITÁRIO DE NOVA ESTRELA,"R. PRINCIPAL, S/ N",Virou para o grupo
20,109.0,298.0,170,303,36.6,56.1,19.5,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA,"R. PRINCIPAL, S/ N",Virou para o grupo
21,93.0,317.0,184,334,29.3,55.1,25.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMUEF QUARTO TERRITÓRIO,"RUA PRINCIPAL, S/N",Virou para o grupo
22,87.0,291.0,182,323,29.9,56.3,26.4,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF SAGRADA FAMÍLIA,"R. PRINCIPAL, S/ N",Virou para o grupo
23,99.0,319.0,165,288,31.0,57.3,26.3,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF SAGRADA FAMÍLIA,"R. PRINCIPAL, S/ N",Virou para o grupo
24,101.0,278.0,176,276,36.3,63.8,27.5,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N",Virou para o grupo
25,83.0,308.0,136,285,26.9,47.7,20.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N",Não virou
26,67.0,159.0,110,184,42.1,59.8,17.7,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEUEF VILA NOVA DE MARAVILHA,"R. PRINCIPAL, S/ Nº",Virou para o grupo
27,140.0,327.0,141,257,42.8,54.9,12.1,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
28,76.0,206.0,111,210,36.9,52.9,16.0,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO DA IGREJA DE SÃO MARTINHO,"R. PRINCIPAL, S/ N",Virou para o grupo
29,117.0,304.0,179,297,38.5,60.3,21.8,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N",Virou para o grupo
30,115.0,320.0,140,262,35.9,53.4,17.5,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
31,120.0,321.0,154,268,37.4,57.5,20.1,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
33,,,141,256,,55.1,,,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",
34,132.0,313.0,153,260,42.2,58.8,16.6,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
35,141.0,318.0,131,257,44.3,51.0,6.7,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N",Virou para o grupo
37,89.0,218.0,155,275,40.8,56.4,15.6,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,CRECHE COMECINHO DE GENTE,"AV. DARCY DE PAULA GAIGHER, S/N",Virou para o grupo
38,,,169,270,,62.6,,,Hugo Luiz Picoli Meneghel,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19",
39,,,179,276,,64.9,,,Hugo Luiz Picoli Meneghel,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19",
40,115.0,273.0,155,237,42.1,65.4,23.3,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO,"AV. GETULIO VARGAS, 545",Virou para o grupo
41,96.0,250.0,138,235,38.4,58.7,20.3,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO,"AV. GETULIO VARGAS, 545",Virou para o grupo
85,76.0,270.0,155,254,28.1,61.0,32.9,Fernando Videira Lafayette,Hugo Luiz Picoli Meneghel,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19",Virou para o grupo
96,,,56,72,,77.8,,,Hugo Luiz Picoli Meneghel,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N",
98,,,43,78,,55.1,,,Hugo Luiz Picoli Meneghel,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N",
