Ano,Nome,Partido,Votos,Lado
2020,Nilton Belmok,PSB,533,Adversários
2020,Narcizo Grassi,Patriota,530,Grupo
2020,Charles Gaigher,PSB,479,Adversários
2020,Serafino Simoni,PSB,437,Adversários
2020,Adilson Roveta,PSB,382,Adversários
2020,Sergio Bianchi,PSDB,347,Adversários
2020,Hugo Luiz,PTB,345,Grupo
2020,Osvaldo Sgulmaro,PP,338,Adversários
2020,Zanata,Republicanos,193,Grupo
2024,Josimar Piumbini,Republicanos,532,Grupo
2024,Nilton Belmok,PSB,391,Adversários
2024,Zanata,PODE,382,Adversários
2024,Charles Gaigher,PSB,382,Adversários
2024,Hermes Marchiori,PP,363,Grupo
2024,Odair Basso,PSD,354,Adversários
2024,Professor Alefy,Republicanos,351,Grupo
2024,Renan Boldrini,PP,333,Grupo
2024,Warlei Pessali,PSDB,261,Grupo
