Ano,Nome,Partido,Votos,Lado
2020,NILTON BELMOK,PSB,533,Adversarios
2020,NARCIZO GRASSI,PATRIOTA,530,Grupo
2020,CHARLES GAIGHER,PSB,479,Adversarios
2020,SERAFINO SIMONI,PSB,437,Adversarios
2020,ADILSON ROVETA,PSB,382,Adversarios
2020,SERGIO BIANCHI,PSDB,347,Adversarios
2020,HUGO LUIZ,PTB,345,Grupo
2020,OSVALDO SGULMARO,PP,338,Adversarios
2020,ZANATA,REPUBLICANOS,193,Grupo
2024,JOSIMAR PIUMBINI,REPUBLICANOS,532,Grupo
2024,NILTON BELMOK,PSB,391,Adversarios
2024,ZANATA,PODE,382,Adversarios
2024,CHARLES GAIGHER,PSB,382,Adversarios
2024,HERMES MARCHIORI,PP,363,Grupo
2024,ODAIR BASSO,PSD,354,Adversarios
2024,PROFESSOR ALEFY,REPUBLICANOS,351,Grupo
2024,RENAN BOLDRINI,PP,333,Grupo
2024,WARLEI PESSALI,PSDB,261,Grupo
