DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;SQ_CANDIDATO;NR_ORDEM_CANDIDATO;CD_TIPO_BEM_CANDIDATO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO;DT_ULTIMA_ATUALIZACAO;HH_ULTIMA_ATUALIZACAO
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6498;1;99;Outros bens e direitos;IMOVEL RURAL;30000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6498;2;99;Outros bens e direitos;CASA RESIDENCIAL-MATILDE;100000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6498;3;99;Outros bens e direitos;VEICULO GOL;23000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6498;4;99;Outros bens e direitos;MOTOCICLETA HONDA;7000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6498;5;99;Outros bens e direitos;LOTE URBANO MATILDE;30000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6500;1;99;Outros bens e direitos;AUTOMOVEL FIAT PALIO;27000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6503;1;99;Outros bens e direitos;5 LOTES URBANOS;102670,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6503;2;99;Outros bens e direitos;CASA DE MORADIA - PIUMA;10000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6503;3;99;Outros bens e direitos;CASA MORADIA ALFREDO CHAVES;35934,50;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6508;1;99;Outros bens e direitos;VEICULO AUTOMOTOR FIAT PALIO;10000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;6517;1;99;Outros bens e direitos;CAMINHÃO;80000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;2976;1;99;Outros bens e direitos;CASA RESIDENCIAL ALFREDO CHAVES - ES;110000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;2976;2;99;Outros bens e direitos;TERRENO ZONA RURAL ALFREDO CHAVES - ES;150000,00;#NE#;#NE#
19/08/2021;18:49:01;2008;2;Eleição Ordinária;30;ELEIÇÕES 2008;05/10/2008;ES;56057;ALFREDO CHAVES;2978;1;99;Outros bens e direitos;CASA RESIDENCIAL;15000,00;#NE#;#NE#
