"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947338;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO GOL ANO 2006";"15000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947338;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BIZ 100 ANO 2005";"6000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947153;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM GOL PLACAOCZ 5469";"17000,00";"07/07/2026";"15:06:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947153;2;32;"Quotas ou quinhões de capital";"CAPITAL SOCIAL SICOOB";"3671,72";"07/07/2026";"15:06:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947156;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT MOBI ANO 2021";"49000,00";"07/07/2026";"15:06:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947282;1;61;"Depósito bancário em conta corrente no País";"CEF";"496,89";"07/07/2026";"15:06:42"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947282;2;63;"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPECIE";"15000,00";"07/07/2026";"15:06:42"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947149;1;13;"Terreno";"UM TERRENO RURAL MEDINDO 58 HA EM SAO SEBASTIAO";"600000,00";"07/07/2026";"15:06:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947149;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT UNO MILLE WAY PLACA ODF5080";"15000,00";"07/07/2026";"15:06:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001982774;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO";"26000,00";"07/07/2026";"15:07:16"
