"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_DCONST_DIPLOMA";"DS_SITUACAO_DCONST_DIPLOMA";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230755;22333;"MARIA DO CARMO LORENZINI DESTEFANI";"CARMINHA DA PREFEITURA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";18;"Válido";18;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230753;22123;"CRISTIANO GRILLO";"CRISTIANO GRILLO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";167;"Válido";167;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230757;22040;"EDEVANILDE GORETI BREDA ALMEIDA";"EDEVANILDE";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";70;"Válido";70;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230758;22500;"LAUDEMIR CARLOS PEREIRA";"MACARRÃO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";57;"Válido";57;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230759;22022;"SAMUEL ARDIZZON BELMOK";"SAMUEL BELMOCK";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";189;"Válido";189;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80002230761;22000;"ANDRÉ ALMONFREY ORLANDI";"ANDRÉ TIA VIRGINIA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";80001742917;"PARTIDO ISOLADO";"PL";"N";79;"Válido";79;4;"NÃO ELEITO"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80001966350;10400;"GABRIEL NICHETI";"GABRIEL NICHETI";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80001702479;"PARTIDO ISOLADO";"REPUBLICANOS";"N";166;"Válido";166;5;"SUPLENTE"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80001966358;10366;"SELMA CONSOLADORA CASALI PILON";"SELMA PILON";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80001702479;"PARTIDO ISOLADO";"REPUBLICANOS";"N";36;"Válido";36;5;"SUPLENTE"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80001966357;10789;"LUIS ALBERTO BIANCHI";"BETO BIANCHI";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80001702479;"PARTIDO ISOLADO";"REPUBLICANOS";"N";97;"Válido";97;5;"SUPLENTE"
"26/08/2026";"02:17:09";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";80001966352;10190;"ROMILDO DOMINGOS BORTOLUZZI";"ROMILDO POLICIAL";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80001702479;"PARTIDO ISOLADO";"REPUBLICANOS";"N";128;"Válido";128;5;"SUPLENTE"
