"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"16/10/2024";5262590005;"ES";"Cupom Fiscal";"1241025117292";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";19;"PIX";61827741;44810091;"04/10/2024";"ALIMENTAÇÃO";"129,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"24/10/2024";5256706366;"ES";"Nota Fiscal";"4";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";63233332;46052870;"24/09/2024";"SANTINHOS";"550,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"04/11/2024";5283267239;"ES";"Outro";"1240921734924";1;"Outros Recursos";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";19;"PIX";65886310;48519248;"15/09/2024";"DESPESA COM CRÉDITO PARA IMPULSIONAM DE CONTEÚDO";"130,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"04/11/2024";5283267239;"ES";"Outro";"1240924085674";1;"Outros Recursos";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";19;"PIX";65886315;48519251;"30/09/2024";"CRÉDITO PARA IMPULSIONAMENTO DE CONTEÚDO";"50,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"31/10/2024";5256706313;"ES";"Cupom Fiscal";"1240924177999";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";64742808;47454973;"30/09/2024";"GASOLINA COMUM";"305,03"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"02/10/2025";5262590103;"ES";"Cupom Fiscal";"1240923825730";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";73012791;55461376;"28/09/2024";"GASOLINA";"249,36"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"03/11/2024";5256706502;"ES";"Nota Fiscal";"1240921938479";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";65692954;48337892;"17/09/2024";"60 X 30 ADESIVO PERFURADO | ADESIVO PERFURADO 65X30";"2040,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"31/10/2024";5256706499;"ES";"Nota Fiscal";"002";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";64503716;47235417;"11/09/2024";"GASOLINA COMUM";"200,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"29/11/2024";5277252365;"ES";"Nota Fiscal";"1240922839335";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";70911629;53306207;"23/09/2024";"50 PRAGONAS 35,2X35,2CM | CONFECÇÃO DE 1000 PRAGUINHAS 0,83X0,83CM";"1160,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"01/10/2025";5259798229;"ES";"Nota Fiscal";"1240817277979";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";73011259;55457021;"22/08/2024";"CONFECÇÃO DE 100 ADESIVOS | CONFECÇÃO DE 200 SANTÃO";"1027,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"20/11/2024";5262590007;"ES";"Nota Fiscal";"124";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";70531202;52944278;"30/09/2024";"GASOLINA TIPO C";"143,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"29/11/2024";5277252365;"ES";"Nota Fiscal";"1290922077930";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";70911660;53306203;"18/09/2024";"GASOLINA";"150,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"22/11/2024";5262590091;"ES";"Cupom Fiscal";"1241024894012";2;"Fundo Especial de Financiamento de Campanha";20150000;"Alimentação";1;"Financeiro";19;"PIX";70635321;53036906;"03/10/2024";"DESP COM ALIMENTAÇÃO";"16,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"22/11/2024";5262590091;"ES";"Cupom Fiscal";"1241024893549";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";19;"PIX";70635321;53036907;"03/10/2024";"DESP COM ALIMENTAÇÃO";"46,35"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"03/11/2024";5256706502;"ES";"Nota Fiscal";"1240921946758";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";65692962;48337904;"17/09/2024";"SANTINHO - 10 X 7 - 4/1 CORES | SANTINHO - 10 X 7 - 4/1 CORES | SANTINHO - 10 X 7 - 4/1 CORES";"2400,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"22/11/2024";5262590091;"ES";"Nota Fiscal";"1240923118829";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";70635326;53036904;"25/09/2024";"PRAGINHA  7X7";"144,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"03/10/2025";5259798221;"ES";"Nota Fiscal";"1240921405734";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";73009792;55454924;"13/09/2024";"GASOLINA";"180,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"20/11/2024";5262590007;"ES";"Nota Fiscal";"1240920764001";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70531199;52944274;"10/09/2024";"2.000 IMPRESSÃO SANTINHOS 10X7CM";"269,00"
"28/08/2026";"23:00:17";2024;2;"Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"1";"Final";"01/10/2025";5259798274;"ES";"Nota Fiscal";"1240919461610";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";73009548;55454594;"03/09/2024";"01 ADESIVO RECORTE 100X30CM | 10 ADESIVOS 100X10CM | 100 PRAGUINHAS 7X7CM | CONFECÇÃO ADESIVOS 30X15CM";"317,60"
