local_votacao;distrito
CRECHE COMECINHO DE GENTE;Sede
CRECHE PEQUERRUCHOS;Sede
EEEFM CAMILA MOTA;Sede
EMEF ANA ARAÚJO;Sede
EMEF FELIPE MODOLO;Sede
EMUEF QUARTO TERRITÓRIO;Sede
PRÉDIO DA ANTIGA ESCOLA ALMERINDA BRUNORO;Sede
SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA;Sede
SALÃO DA IGREJA CATÓLICA DE SÃO FRANCISCO DE BATATAL;Sede
SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO;Sede
EEEF DE CRUBIXÁ;Crubixá
SALÃO COMUNITÁRIO DE NOVA ESTRELA;Crubixá
EMEF ENGANO;Ibitiruí
EMEF FAZENDA APARECIDA;Ribeirão do Cristo
EMEF SAGRADA FAMÍLIA;Sagrada Família
SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA;São Bento de Urânia
EEUEF VILA NOVA DE MARAVILHA;Matilde
SALÃO DA IGREJA DE SÃO MARTINHO;Matilde
