ano;pib_total_mil_reais;fonte
2002;41086;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2003;46457;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2004;54804;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2005;71346;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2006;89103;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2007;95300;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2008;117470;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2009;134869;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2010;152170;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2011;188335;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2012;276328;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2013;286364;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2014;313747;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2015;296499;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2016;349918;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2017;340072;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2018;325905;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2019;357763;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2020;377864;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2021;457723;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2022;503090;IBGE SIDRA tabela 5938 (PIB a precos correntes)
2023;565385;IBGE SIDRA tabela 5938 (PIB a precos correntes)
