ano;populacao_estimada;fonte
2001;13720;IBGE SIDRA tabela 6579
2002;13820;IBGE SIDRA tabela 6579
2003;13915;IBGE SIDRA tabela 6579
2004;14113;IBGE SIDRA tabela 6579
2005;14223;IBGE SIDRA tabela 6579
2006;14332;IBGE SIDRA tabela 6579
2008;14507;IBGE SIDRA tabela 6579
2009;14585;IBGE SIDRA tabela 6579
2011;13982;IBGE SIDRA tabela 6579
2012;14007;IBGE SIDRA tabela 6579
2013;14859;IBGE SIDRA tabela 6579
2014;14916;IBGE SIDRA tabela 6579
2015;14973;IBGE SIDRA tabela 6579
2016;15029;IBGE SIDRA tabela 6579
2017;15082;IBGE SIDRA tabela 6579
2018;14566;IBGE SIDRA tabela 6579
2019;14601;IBGE SIDRA tabela 6579
2020;14636;IBGE SIDRA tabela 6579
2021;14670;IBGE SIDRA tabela 6579
2024;14373;IBGE SIDRA tabela 6579
2025;14376;IBGE SIDRA tabela 6579
2026;14376;IBGE SIDRA tabela 6579
