local_votacao,endereco_votacao,secoes,lat,lon,query_used
CRECHE COMECINHO DE GENTE,"AV. DARCY DE PAULA GAIGHER, S/N",37,-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19","38, 39, 85",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
EEEF DE CRUBIXÁ,"R. PRINCIPAL, S/ Nº","10, 11",-20.6419717,-40.8626592,"Crubixá, Alfredo Chaves, ES, Brazil"
EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N","6, 7, 8, 27, 30, 31, 33, 34, 35",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
EEUEF VILA NOVA DE MARAVILHA,"R. PRINCIPAL, S/ Nº",26,-20.5872172,-40.9482673,"Vila Nova de Maravilha, Alfredo Chaves, ES, Brazil"
EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO,"1, 2, 3, 4, 5",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
EMEF ENGANO,"R. PRINCIPAL, S/N","12, 13",-20.589537,-40.8441218,"Engano, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
EMEF FAZENDA APARECIDA,"R. PRINCIPAL, S/ Nº",9,-20.451082,-40.689818,"Fazenda Aparecida, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N","17, 18, 25, 98",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
EMEF SAGRADA FAMÍLIA,"R. PRINCIPAL, S/ N","22, 23",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
EMUEF QUARTO TERRITÓRIO,"RUA PRINCIPAL, S/N",21,-20.6554405,-40.8121514,"Quarto Território, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
PRÉDIO DA ANTIGA ESCOLA ALMERINDA BRUNORO,"R. PRINCIPAL, S/ N",16,-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
SALÃO COMUNITÁRIO DE NOVA ESTRELA,"R. PRINCIPAL, S/ N",19,-20.667614,-40.8511847,"Nova Estrela, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N","24, 29, 96",-20.5031319,-40.9594737,"São Bento de Urânia, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA,"R. PRINCIPAL, S/ N",20,-20.6784737,-40.780629,"Cachoeira Alta, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
SALÃO DA IGREJA CATÓLICA DE SÃO FRANCISCO DE BATATAL,"RUA PRINCIPAL, S/ N",14,-20.5732503,-40.7366325,"São Francisco do Batatal, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
SALÃO DA IGREJA DE SÃO MARTINHO,"R. PRINCIPAL, S/ N","15, 28",-20.5236217,-40.7661605,"São Martinho, Alfredo Chaves, Alfredo Chaves, ES, Brazil"
SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO,"AV. GETULIO VARGAS, 545","40, 41",-20.6347382,-40.7504269,"Alfredo Chaves centro, Alfredo Chaves, ES, Brazil"
