DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;11;Prefeito;40;ROBERTO FORTUNATO FIORIN;165;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;11;Prefeito;55;SERGIO BIANCHI;86;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;11;Prefeito;95;VOTO BRANCO;17;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;11;Prefeito;96;VOTO NULO;20;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;23444;AGENOR LORENZON;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;15555;ALMIR ANTONIO FAVERO;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;23612;ANDRÉ SARTORI;19;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40444;ANGELA MARIA VOLPONI FURLAN;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11234;ANGELO ARPINI;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;12345;ARMANDO ZANATA INGLE RIBEIRO;12;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11567;AUXILIADORA ROSA;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40111;CHARLES GAIGHER;12;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40123;CLEOMIR GOBBI BUBACK;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40333;DARCI ESCANDIAN;13;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40000;DULCIANE BRUNORO ESTEVES;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;14678;DULCINO PERUZZO;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40555;EDEVANILDE GORETI BREDA;5;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;10123;ELISAEL DOS SANTOS FERREIRA;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11789;ELIZETE MARIA FURLAN;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;14214;ERTA DE PAULA GAIGHER;7;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40222;FERNANDO ALVES;58;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;55555;GERALDO BAYER;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40321;GILSON LUIZ BELLON;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;22123;JAMIR PIETRALONGA;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;45000;JONAS NUNES SIMÕES;11;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;12333;JOSE CARLOS CRAVEIRO CAMPOS;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11345;JOSÉ ALVES PEREIRA;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;55030;JOSÉ ARLINDO PETERLE;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;13366;JOSÉ DOMINGOS GOTTARDO;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40789;JOÃO BOSCO COSTA;11;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11333;MARCO ANTONIO MOZER;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11100;MARIA DA PENHA SQUASANTE CAVATI;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40777;MARINALVA STEFANON;6;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;15311;NARCIZO DE ABREU GRASSI;20;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;25100;ORLANDO OSS;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;22;PARTIDO DA REPÚBLICA;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;12;PARTIDO DEMOCRÁTICO TRABALHISTA;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;13;PARTIDO DOS TRABALHADORES;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;55;PARTIDO SOCIAL DEMOCRÁTICO;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40;PARTIDO SOCIALISTA BRASILEIRO;4;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;14;PARTIDO TRABALHISTA BRASILEIRO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;23666;PAULO MUNALDI;26;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;11123;PRIMO ARMELINDO BERGAMI;8;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;25666;RAINOR BREDA;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;23333;RENATO CARDOSO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;40456;SERAFINO ANTONIO SIMONI;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;95;VOTO BRANCO;11;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;1;13;Vereador;96;VOTO NULO;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;11;Prefeito;40;ROBERTO FORTUNATO FIORIN;155;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;11;Prefeito;55;SERGIO BIANCHI;129;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;11;Prefeito;95;VOTO BRANCO;10;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;11;Prefeito;96;VOTO NULO;19;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;23612;ANDRÉ SARTORI;12;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40444;ANGELA MARIA VOLPONI FURLAN;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;11234;ANGELO ARPINI;8;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;12345;ARMANDO ZANATA INGLE RIBEIRO;16;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;11567;AUXILIADORA ROSA;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40111;CHARLES GAIGHER;13;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40333;DARCI ESCANDIAN;7;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;13131;DOMINGOS MAROTTO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40000;DULCIANE BRUNORO ESTEVES;6;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;14678;DULCINO PERUZZO;7;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40555;EDEVANILDE GORETI BREDA;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;10123;ELISAEL DOS SANTOS FERREIRA;9;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;11789;ELIZETE MARIA FURLAN;3;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;14214;ERTA DE PAULA GAIGHER;6;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;10000;FABIO BUZZETE LOURENÇO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40222;FERNANDO ALVES;57;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;55555;GERALDO BAYER;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40321;GILSON LUIZ BELLON;2;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;22123;JAMIR PIETRALONGA;5;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;45000;JONAS NUNES SIMÕES;23;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40789;JOÃO BOSCO COSTA;14;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;11333;MARCO ANTONIO MOZER;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;11100;MARIA DA PENHA SQUASANTE CAVATI;8;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;10222;MARIA SILVIA COSTA MONTEIRO;1;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;40777;MARINALVA STEFANON;6;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;15311;NARCIZO DE ABREU GRASSI;25;1015
27/07/2021;17:04:35;2012;2;Eleição Ordinária;1;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;2;13;Vereador;25100;ORLANDO OSS;1;1015
