"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"CD_CARGO";"DS_CARGO";"NR_VOTAVEL";"NM_VOTAVEL";"QT_VOTOS";"NR_LOCAL_VOTACAO";"SQ_CANDIDATO";"NM_LOCAL_VOTACAO";"DS_LOCAL_VOTACAO_ENDERECO"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;4;13;"Vereador";40123;"CELIA MARIA STEIN BUBACH";1;1015;80001947153;"EMEF ANA ARAÚJO";"R. EXPEDICIONARIO OSVALDO SAUDINO"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;37;13;"Vereador";10190;"ROMILDO DOMINGOS BORTOLUZZI";6;1228;80001966352;"CRECHE COMECINHO DE GENTE";"AV. DARCY DE PAULA GAIGHER, S/N"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;21;13;"Vereador";11000;"FRANCISCO DE ASSIS JOSE DOS SANTOS";6;1120;80001982776;"EMUEF QUARTO TERRITÓRIO";"RUA PRINCIPAL, S/N"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;11;13;"Vereador";22222;"LUCIANO DE JESUS SILVA";1;1040;80002230760;"EEEF DE CRUBIXÁ";"R. PRINCIPAL, S/ Nº"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;98;13;"Vereador";22000;"ANDRÉ ALMONFREY ORLANDI";1;1090;80002230761;"EMEF FELIPE MODOLO";"R. PRINCIPAL, S/ N"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;28;13;"Vereador";55152;"ARILDO ALVES";1;1074;80001947338;"SALÃO DA IGREJA DE SÃO MARTINHO";"R. PRINCIPAL, S/ N"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;41;13;"Vereador";22500;"LAUDEMIR CARLOS PEREIRA";2;1236;80002230758;"SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO";"AV. GETULIO VARGAS, 545"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;26;11;"Prefeito";22;"LUIZ CLAUDIO BOLDRINI";6;1163;80002271252;"EEUEF VILA NOVA DE MARAVILHA";"R. PRINCIPAL, S/ Nº"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;3;13;"Vereador";22222;"LUCIANO DE JESUS SILVA";6;1015;80002230760;"EMEF ANA ARAÚJO";"R. EXPEDICIONARIO OSVALDO SAUDINO"
"28/10/2024";"11:46:22";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;20;13;"Vereador";45100;"WELLINGTON MORAES DE AGUIAR";3;1112;80001982697;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";"R. PRINCIPAL, S/ N"
