NR_SECAO,votos_candidato_2020,total_secao_2020,votos_candidato_2024,total_secao_2024,pct_2020,pct_2024,variacao_pp,vencedor_2020,vencedor_2024,virou_de_derrota_para_vitoria,local_votacao,endereco_votacao
1,110.0,306.0,111,225,35.9,49.3,13.4,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO
2,131.0,317.0,126,239,41.3,52.7,11.4,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO
3,125.0,323.0,117,236,38.7,49.6,10.9,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO
4,123.0,313.0,128,228,39.3,56.1,16.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO
5,,,126,222,,56.8,,,HUGO LUIZ PICOLI MENEGHEL,,EMEF ANA ARAÚJO,R. EXPEDICIONARIO OSVALDO SAUDINO
6,86.0,215.0,106,204,40.0,52.0,12.0,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
7,127.0,315.0,138,243,40.3,56.8,16.5,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
8,100.0,234.0,111,213,42.7,52.1,9.4,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
9,142.0,259.0,191,279,54.8,68.5,13.7,RONALDO BIANCHI,HUGO LUIZ PICOLI MENEGHEL,False,EMEF FAZENDA APARECIDA,"R. PRINCIPAL, S/ Nº"
10,77.0,247.0,112,255,31.2,43.9,12.7,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,EEEF DE CRUBIXÁ,"R. PRINCIPAL, S/ Nº"
11,79.0,242.0,116,261,32.6,44.4,11.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,EEEF DE CRUBIXÁ,"R. PRINCIPAL, S/ Nº"
12,124.0,304.0,177,282,40.8,62.8,22.0,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF ENGANO,"R. PRINCIPAL, S/N"
13,110.0,300.0,208,333,36.7,62.5,25.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF ENGANO,"R. PRINCIPAL, S/N"
14,91.0,199.0,99,191,45.7,51.8,6.1,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO DA IGREJA CATÓLICA DE SÃO FRANCISCO DE BATATAL,"RUA PRINCIPAL, S/ N"
15,60.0,179.0,86,175,33.5,49.1,15.6,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,SALÃO DA IGREJA DE SÃO MARTINHO,"R. PRINCIPAL, S/ N"
16,77.0,220.0,90,217,35.0,41.5,6.5,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,PRÉDIO DA ANTIGA ESCOLA ALMERINDA BRUNORO,"R. PRINCIPAL, S/ N"
17,107.0,246.0,155,248,43.5,62.5,19.0,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N"
18,94.0,242.0,160,264,38.8,60.6,21.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N"
19,62.0,180.0,99,183,34.4,54.1,19.7,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO COMUNITÁRIO DE NOVA ESTRELA,"R. PRINCIPAL, S/ N"
20,109.0,298.0,170,303,36.6,56.1,19.5,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA,"R. PRINCIPAL, S/ N"
21,93.0,317.0,184,334,29.3,55.1,25.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMUEF QUARTO TERRITÓRIO,"RUA PRINCIPAL, S/N"
22,87.0,291.0,182,323,29.9,56.3,26.4,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF SAGRADA FAMÍLIA,"R. PRINCIPAL, S/ N"
23,99.0,319.0,165,288,31.0,57.3,26.3,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EMEF SAGRADA FAMÍLIA,"R. PRINCIPAL, S/ N"
24,101.0,278.0,176,276,36.3,63.8,27.5,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N"
25,83.0,308.0,136,285,26.9,47.7,20.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,False,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N"
26,67.0,159.0,110,184,42.1,59.8,17.7,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEUEF VILA NOVA DE MARAVILHA,"R. PRINCIPAL, S/ Nº"
27,140.0,327.0,141,257,42.8,54.9,12.1,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
28,76.0,206.0,111,210,36.9,52.9,16.0,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO DA IGREJA DE SÃO MARTINHO,"R. PRINCIPAL, S/ N"
29,117.0,304.0,179,297,38.5,60.3,21.8,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N"
30,115.0,320.0,140,262,35.9,53.4,17.5,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
31,120.0,321.0,154,268,37.4,57.5,20.1,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
33,,,141,256,,55.1,,,HUGO LUIZ PICOLI MENEGHEL,,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
34,132.0,313.0,153,260,42.2,58.8,16.6,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
35,141.0,318.0,131,257,44.3,51.0,6.7,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,EEEFM CAMILA MOTA,"R. NELSON DA COSTA MELLO, S/ N"
37,89.0,218.0,155,275,40.8,56.4,15.6,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,CRECHE COMECINHO DE GENTE,"AV. DARCY DE PAULA GAIGHER, S/N"
38,,,169,270,,62.6,,,HUGO LUIZ PICOLI MENEGHEL,,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19"
39,,,179,276,,64.9,,,HUGO LUIZ PICOLI MENEGHEL,,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19"
40,115.0,273.0,155,237,42.1,65.4,23.3,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO,"AV. GETULIO VARGAS, 545"
41,96.0,250.0,138,235,38.4,58.7,20.3,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO,"AV. GETULIO VARGAS, 545"
85,76.0,270.0,155,254,28.1,61.0,32.9,FERNANDO VIDEIRA LAFAYETTE,HUGO LUIZ PICOLI MENEGHEL,True,CRECHE PEQUERRUCHOS,"RUA ANTÔNIO CLAUDIO GAIGHER, 19"
96,,,56,72,,77.8,,,HUGO LUIZ PICOLI MENEGHEL,,SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA,"R. PRINCIPAL, S/ N"
98,,,43,78,,55.1,,,HUGO LUIZ PICOLI MENEGHEL,,EMEF FELIPE MODOLO,"R. PRINCIPAL, S/ N"
