distrito,ano,votos_grupo,votos_validos
Sede,2004,1542,5174
Sede,2008,1995,5890
Sede,2012,2428,5769
Sede,2016,3192,6392
Sede,2020,2480,6157
Sede,2024,3811,6653
Crubixá,2004,164,679
Crubixá,2008,233,704
Crubixá,2012,186,661
Crubixá,2016,295,711
Crubixá,2020,218,641
Crubixá,2024,327,690
Ibitiruí,2004,124,523
Ibitiruí,2008,180,588
Ibitiruí,2012,204,609
Ibitiruí,2016,311,618
Ibitiruí,2020,234,587
Ibitiruí,2024,385,608
Matilde,2004,86,447
Matilde,2008,195,513
Matilde,2012,142,517
Matilde,2016,269,533
Matilde,2020,203,511
Matilde,2024,307,531
Ribeirão do Cristo,2004,23,261
Ribeirão do Cristo,2008,97,254
Ribeirão do Cristo,2012,22,235
Ribeirão do Cristo,2016,101,281
Ribeirão do Cristo,2020,142,244
Ribeirão do Cristo,2024,191,264
Sagrada Família,2004,100,534
Sagrada Família,2008,148,599
Sagrada Família,2012,175,578
Sagrada Família,2016,239,612
Sagrada Família,2020,186,577
Sagrada Família,2024,347,601
São Bento de Urânia,2004,68,354
São Bento de Urânia,2008,121,417
São Bento de Urânia,2012,58,461
São Bento de Urânia,2016,234,513
São Bento de Urânia,2020,218,496
São Bento de Urânia,2024,411,608
