distrito,ano,nome,votos,votos_validos
Sede,2004,Dr. Fernando,3308,5174
Sede,2004,Jorge Meneghel,1542,5174
Sede,2004,Nelsão Togneri,175,5174
Sede,2004,Luiz Teixeira,149,5174
Sede,2008,Dr. Fernando,3895,5890
Sede,2008,Daniel Orlandi,1995,5890
Sede,2012,Roberto Fiorin,3341,5769
Sede,2012,Sergio Bianchi,2428,5769
Sede,2016,Dr. Fernando,3200,6392
Sede,2016,Ronaldo Bianchi,3192,6392
Sede,2020,Dr. Fernando,3456,6157
Sede,2020,Ronaldo Bianchi,2480,6157
Sede,2020,Armando Zanata,221,6157
Sede,2024,Hugo Luiz,3811,6653
Sede,2024,Rolmar Boteccia,2109,6653
Sede,2024,Boldrini,733,6653
Crubixá,2004,Dr. Fernando,468,679
Crubixá,2004,Jorge Meneghel,164,679
Crubixá,2004,Nelsão Togneri,24,679
Crubixá,2004,Luiz Teixeira,23,679
Crubixá,2008,Dr. Fernando,471,704
Crubixá,2008,Daniel Orlandi,233,704
Crubixá,2012,Roberto Fiorin,475,661
Crubixá,2012,Sergio Bianchi,186,661
Crubixá,2016,Dr. Fernando,416,711
Crubixá,2016,Ronaldo Bianchi,295,711
Crubixá,2020,Dr. Fernando,406,641
Crubixá,2020,Ronaldo Bianchi,218,641
Crubixá,2020,Armando Zanata,17,641
Crubixá,2024,Hugo Luiz,327,690
Crubixá,2024,Rolmar Boteccia,269,690
Crubixá,2024,Boldrini,94,690
Ibitiruí,2004,Dr. Fernando,372,523
Ibitiruí,2004,Jorge Meneghel,124,523
Ibitiruí,2004,Nelsão Togneri,14,523
Ibitiruí,2004,Luiz Teixeira,13,523
Ibitiruí,2008,Dr. Fernando,408,588
Ibitiruí,2008,Daniel Orlandi,180,588
Ibitiruí,2012,Roberto Fiorin,405,609
Ibitiruí,2012,Sergio Bianchi,204,609
Ibitiruí,2016,Ronaldo Bianchi,311,618
Ibitiruí,2016,Dr. Fernando,307,618
Ibitiruí,2020,Dr. Fernando,309,587
Ibitiruí,2020,Ronaldo Bianchi,234,587
Ibitiruí,2020,Armando Zanata,44,587
Ibitiruí,2024,Hugo Luiz,385,608
Ibitiruí,2024,Rolmar Boteccia,179,608
Ibitiruí,2024,Boldrini,44,608
Matilde,2004,Dr. Fernando,343,447
Matilde,2004,Jorge Meneghel,86,447
Matilde,2004,Luiz Teixeira,12,447
Matilde,2004,Nelsão Togneri,6,447
Matilde,2008,Dr. Fernando,318,513
Matilde,2008,Daniel Orlandi,195,513
Matilde,2012,Roberto Fiorin,375,517
Matilde,2012,Sergio Bianchi,142,517
Matilde,2016,Ronaldo Bianchi,269,533
Matilde,2016,Dr. Fernando,264,533
Matilde,2020,Dr. Fernando,297,511
Matilde,2020,Ronaldo Bianchi,203,511
Matilde,2020,Armando Zanata,11,511
Matilde,2024,Hugo Luiz,307,531
Matilde,2024,Rolmar Boteccia,181,531
Matilde,2024,Boldrini,43,531
Ribeirão do Cristo,2004,Dr. Fernando,156,261
Ribeirão do Cristo,2004,Luiz Teixeira,82,261
Ribeirão do Cristo,2004,Jorge Meneghel,23,261
Ribeirão do Cristo,2008,Dr. Fernando,157,254
Ribeirão do Cristo,2008,Daniel Orlandi,97,254
Ribeirão do Cristo,2012,Roberto Fiorin,213,235
Ribeirão do Cristo,2012,Sergio Bianchi,22,235
Ribeirão do Cristo,2016,Dr. Fernando,180,281
Ribeirão do Cristo,2016,Ronaldo Bianchi,101,281
Ribeirão do Cristo,2020,Ronaldo Bianchi,142,244
Ribeirão do Cristo,2020,Dr. Fernando,96,244
Ribeirão do Cristo,2020,Armando Zanata,6,244
Ribeirão do Cristo,2024,Hugo Luiz,191,264
Ribeirão do Cristo,2024,Rolmar Boteccia,61,264
Ribeirão do Cristo,2024,Boldrini,12,264
Sagrada Família,2004,Dr. Fernando,409,534
Sagrada Família,2004,Jorge Meneghel,100,534
Sagrada Família,2004,Nelsão Togneri,13,534
Sagrada Família,2004,Luiz Teixeira,12,534
Sagrada Família,2008,Dr. Fernando,451,599
Sagrada Família,2008,Daniel Orlandi,148,599
Sagrada Família,2012,Roberto Fiorin,403,578
Sagrada Família,2012,Sergio Bianchi,175,578
Sagrada Família,2016,Dr. Fernando,373,612
Sagrada Família,2016,Ronaldo Bianchi,239,612
Sagrada Família,2020,Dr. Fernando,368,577
Sagrada Família,2020,Ronaldo Bianchi,186,577
Sagrada Família,2020,Armando Zanata,23,577
Sagrada Família,2024,Hugo Luiz,347,601
Sagrada Família,2024,Rolmar Boteccia,213,601
Sagrada Família,2024,Boldrini,41,601
São Bento de Urânia,2004,Dr. Fernando,274,354
São Bento de Urânia,2004,Jorge Meneghel,68,354
São Bento de Urânia,2004,Luiz Teixeira,8,354
São Bento de Urânia,2004,Nelsão Togneri,4,354
São Bento de Urânia,2008,Dr. Fernando,296,417
São Bento de Urânia,2008,Daniel Orlandi,121,417
São Bento de Urânia,2012,Roberto Fiorin,403,461
São Bento de Urânia,2012,Sergio Bianchi,58,461
São Bento de Urânia,2016,Dr. Fernando,279,513
São Bento de Urânia,2016,Ronaldo Bianchi,234,513
São Bento de Urânia,2020,Dr. Fernando,264,496
São Bento de Urânia,2020,Ronaldo Bianchi,218,496
São Bento de Urânia,2020,Armando Zanata,14,496
São Bento de Urânia,2024,Hugo Luiz,411,608
São Bento de Urânia,2024,Rolmar Boteccia,165,608
São Bento de Urânia,2024,Boldrini,32,608
