"oscilacao","distrito","share","vence"
-20,"Sede",37.2824289794078,FALSE
-20,"Crubixá",27.3913043478261,FALSE
-20,"Ibitiruí",43.3223684210526,FALSE
-20,"Matilde",37.8154425612053,FALSE
-20,"Ribeirão do Cristo",52.3484848484848,TRUE
-20,"Sagrada Família",37.7371048252912,FALSE
-20,"São Bento de Urânia",47.5986842105263,FALSE
-15,"Sede",42.2824289794078,FALSE
-15,"Crubixá",32.3913043478261,FALSE
-15,"Ibitiruí",48.3223684210526,FALSE
-15,"Matilde",42.8154425612053,FALSE
-15,"Ribeirão do Cristo",57.3484848484848,TRUE
-15,"Sagrada Família",42.7371048252912,FALSE
-15,"São Bento de Urânia",52.5986842105263,TRUE
-10,"Sede",47.2824289794078,FALSE
-10,"Crubixá",37.3913043478261,FALSE
-10,"Ibitiruí",53.3223684210526,TRUE
-10,"Matilde",47.8154425612053,FALSE
-10,"Ribeirão do Cristo",62.3484848484848,TRUE
-10,"Sagrada Família",47.7371048252912,FALSE
-10,"São Bento de Urânia",57.5986842105263,TRUE
-5,"Sede",52.2824289794078,TRUE
-5,"Crubixá",42.3913043478261,FALSE
-5,"Ibitiruí",58.3223684210526,TRUE
-5,"Matilde",52.8154425612053,TRUE
-5,"Ribeirão do Cristo",67.3484848484848,TRUE
-5,"Sagrada Família",52.7371048252912,TRUE
-5,"São Bento de Urânia",62.5986842105263,TRUE
0,"Sede",57.2824289794078,TRUE
0,"Crubixá",47.3913043478261,FALSE
0,"Ibitiruí",63.3223684210526,TRUE
0,"Matilde",57.8154425612053,TRUE
0,"Ribeirão do Cristo",72.3484848484848,TRUE
0,"Sagrada Família",57.7371048252912,TRUE
0,"São Bento de Urânia",67.5986842105263,TRUE
5,"Sede",62.2824289794078,TRUE
5,"Crubixá",52.3913043478261,TRUE
5,"Ibitiruí",68.3223684210526,TRUE
5,"Matilde",62.8154425612053,TRUE
5,"Ribeirão do Cristo",77.3484848484848,TRUE
5,"Sagrada Família",62.7371048252912,TRUE
5,"São Bento de Urânia",72.5986842105263,TRUE
