"oscilacao","terceiro","share_grupo","share_oposicao","votos_grupo","votos_oposicao","margem_votos","vence"
-20,0,38.1,61.9,3995,6491,-2496,FALSE
-15,0,43.1,56.9,4519,5967,-1448,FALSE
-10,0,48.1,51.9,5044,5442,-398,FALSE
-5,0,53.1,46.9,5568,4918,650,TRUE
0,0,58.1,41.9,6092,4394,1698,TRUE
5,0,63.1,36.9,6617,3869,2748,TRUE
-20,5,38.1,56.9,3995,5967,-1972,FALSE
-15,5,43.1,51.9,4519,5442,-923,FALSE
-10,5,48.1,46.9,5044,4918,126,TRUE
-5,5,53.1,41.9,5568,4394,1174,TRUE
0,5,58.1,36.9,6092,3869,2223,TRUE
5,5,63.1,31.9,6617,3345,3272,TRUE
-20,10,38.1,51.9,3995,5442,-1447,FALSE
-15,10,43.1,46.9,4519,4918,-399,FALSE
-10,10,48.1,41.9,5044,4394,650,TRUE
-5,10,53.1,36.9,5568,3869,1699,TRUE
0,10,58.1,31.9,6092,3345,2747,TRUE
5,10,63.1,26.9,6617,2821,3796,TRUE
