ano,candidato,partido,numero,votos,votos_validos,pct,posicao,resultado,lado
2004,FERNANDO VIDEIRA LAFAYETTE,PSB,40,5330,7972,66.9,1,Eleito,adversario
2004,JORGE GABRIEL MENEGHEL,PT,13,2107,7972,26.4,2,Nao eleito,grupo
2004,LUIZ ROBERTO TEIXEIRA DE SIQUEIRA,PV,43,299,7972,3.8,3,Nao eleito,terceiro
2004,NELSON TOGNERI ANDREATI,PFL,25,236,7972,3.0,4,Nao eleito,terceiro
2008,FERNANDO VIDEIRA LAFAYETTE,PSB,40,5996,8965,66.9,1,Eleito,adversario
2008,DANIEL ORLANDI,PSDB,45,2969,8965,33.1,2,Nao eleito,grupo
2012,ROBERTO FORTUNATO FIORIN,PSB,40,5615,8830,63.6,1,Eleito,adversario
2012,SERGIO BIANCHI,PSD,55,3215,8830,36.4,2,Nao eleito,grupo
2016,FERNANDO VIDEIRA LAFAYETTE,PSB,40,5019,9660,52.0,1,Eleito,adversario
2016,RONALDO BIANCHI,PMDB,15,4641,9660,48.0,2,Nao eleito,grupo
2020,FERNANDO VIDEIRA LAFAYETTE,PSB,40,5196,9213,56.4,1,Eleito,adversario
2020,RONALDO BIANCHI,REPUBLICANOS,10,3681,9213,40.0,2,Nao eleito,grupo
2020,ARMANDO NOLASCO RIBEIRO,PDT,12,336,9213,3.6,3,Nao eleito,terceiro
2024,HUGO LUIZ PICOLI MENEGHEL,PP,11,5779,9955,58.1,1,Eleito,grupo
2024,ROLMAR BOTECCHIA,PSB,40,3177,9955,31.9,2,Nao eleito,adversario
2024,LUIZ CLAUDIO BOLDRINI,PL,22,999,9955,10.0,3,Nao eleito,terceiro
