secao,votos_grupo_2020,votos_validos_2020,votos_grupo_2024,votos_validos_2024,pct_2020,pct_2024,variacao_pp,virou_para_maioria
1,110,291,111,213,37.8,52.1,14.3,1
2,131,309,126,232,42.4,54.3,11.9,1
3,125,304,117,228,41.1,51.3,10.2,1
4,123,301,128,222,40.9,57.7,16.8,1
6,86,201,106,194,42.8,54.6,11.9,1
7,127,302,138,241,42.1,57.3,15.2,1
8,100,220,111,204,45.5,54.4,9.0,1
9,142,244,191,264,58.2,72.3,14.2,0
10,77,237,112,251,32.5,44.6,12.1,0
11,79,229,116,259,34.5,44.8,10.3,0
12,124,294,177,280,42.2,63.2,21.0,1
13,110,293,208,328,37.5,63.4,25.9,1
14,91,192,99,188,47.4,52.7,5.3,1
15,60,167,86,162,35.9,53.1,17.2,1
16,77,213,90,205,36.2,43.9,7.8,0
17,107,228,155,236,46.9,65.7,18.7,1
18,94,234,160,258,40.2,62.0,21.8,1
19,62,175,99,180,35.4,55.0,19.6,1
20,109,288,170,298,37.8,57.0,19.2,1
21,93,299,184,329,31.1,55.9,24.8,1
22,87,275,182,314,31.6,58.0,26.3,1
23,99,302,165,287,32.8,57.5,24.7,1
24,101,227,176,256,44.5,68.8,24.3,1
25,83,299,136,282,27.8,48.2,20.5,0
26,67,153,110,170,43.8,64.7,20.9,1
27,140,309,141,253,45.3,55.7,10.4,1
28,76,191,111,199,39.8,55.8,16.0,1
29,117,269,179,281,43.5,63.7,20.2,1
30,115,302,140,255,38.1,54.9,16.8,1
31,120,303,154,258,39.6,59.7,20.1,1
34,132,297,153,257,44.4,59.5,15.1,1
35,141,304,131,252,46.4,52.0,5.6,1
37,89,205,155,271,43.4,57.2,13.8,1
40,115,264,155,231,43.6,67.1,23.5,1
41,96,237,138,229,40.5,60.3,19.8,1
85,76,255,155,245,29.8,63.3,33.5,1
