distrito,ano,votos_grupo,votos_validos,pct_grupo
Crubixá,2004,164,679,24.2
Crubixá,2008,233,704,33.1
Crubixá,2012,186,661,28.1
Crubixá,2016,295,711,41.5
Crubixá,2020,218,641,34.0
Crubixá,2024,327,690,47.4
Ibitiruí,2004,124,523,23.7
Ibitiruí,2008,180,588,30.6
Ibitiruí,2012,204,609,33.5
Ibitiruí,2016,311,618,50.3
Ibitiruí,2020,234,587,39.9
Ibitiruí,2024,385,608,63.3
Matilde,2004,86,447,19.2
Matilde,2008,195,513,38.0
Matilde,2012,142,517,27.5
Matilde,2016,269,533,50.5
Matilde,2020,203,511,39.7
Matilde,2024,307,531,57.8
Ribeirão do Cristo,2004,23,261,8.8
Ribeirão do Cristo,2008,97,254,38.2
Ribeirão do Cristo,2012,22,235,9.4
Ribeirão do Cristo,2016,101,281,35.9
Ribeirão do Cristo,2020,142,244,58.2
Ribeirão do Cristo,2024,191,264,72.3
Sagrada Família,2004,100,534,18.7
Sagrada Família,2008,148,599,24.7
Sagrada Família,2012,175,578,30.3
Sagrada Família,2016,239,612,39.1
Sagrada Família,2020,186,577,32.2
Sagrada Família,2024,347,601,57.7
Sede,2004,1542,5174,29.8
Sede,2008,1995,5890,33.9
Sede,2012,2428,5769,42.1
Sede,2016,3192,6392,49.9
Sede,2020,2480,6157,40.3
Sede,2024,3811,6653,57.3
São Bento de Urânia,2004,68,354,19.2
São Bento de Urânia,2008,121,417,29.0
São Bento de Urânia,2012,58,461,12.6
São Bento de Urânia,2016,234,513,45.6
São Bento de Urânia,2020,218,496,44.0
São Bento de Urânia,2024,411,608,67.6
