NR_SECAO,vencedor_2020,votos_2020,vencedor_2024,votos_2024
1,FERNANDO VIDEIRA LAFAYETTE,171.0,HUGO LUIZ PICOLI MENEGHEL,111
2,FERNANDO VIDEIRA LAFAYETTE,166.0,HUGO LUIZ PICOLI MENEGHEL,126
3,FERNANDO VIDEIRA LAFAYETTE,171.0,HUGO LUIZ PICOLI MENEGHEL,117
4,FERNANDO VIDEIRA LAFAYETTE,172.0,HUGO LUIZ PICOLI MENEGHEL,128
5,,,HUGO LUIZ PICOLI MENEGHEL,126
6,FERNANDO VIDEIRA LAFAYETTE,104.0,HUGO LUIZ PICOLI MENEGHEL,106
7,FERNANDO VIDEIRA LAFAYETTE,170.0,HUGO LUIZ PICOLI MENEGHEL,138
8,FERNANDO VIDEIRA LAFAYETTE,118.0,HUGO LUIZ PICOLI MENEGHEL,111
9,RONALDO BIANCHI,142.0,HUGO LUIZ PICOLI MENEGHEL,191
10,FERNANDO VIDEIRA LAFAYETTE,151.0,HUGO LUIZ PICOLI MENEGHEL,112
11,FERNANDO VIDEIRA LAFAYETTE,144.0,HUGO LUIZ PICOLI MENEGHEL,116
12,FERNANDO VIDEIRA LAFAYETTE,143.0,HUGO LUIZ PICOLI MENEGHEL,177
13,FERNANDO VIDEIRA LAFAYETTE,166.0,HUGO LUIZ PICOLI MENEGHEL,208
14,FERNANDO VIDEIRA LAFAYETTE,96.0,HUGO LUIZ PICOLI MENEGHEL,99
15,FERNANDO VIDEIRA LAFAYETTE,103.0,HUGO LUIZ PICOLI MENEGHEL,86
16,FERNANDO VIDEIRA LAFAYETTE,127.0,HUGO LUIZ PICOLI MENEGHEL,90
17,FERNANDO VIDEIRA LAFAYETTE,111.0,HUGO LUIZ PICOLI MENEGHEL,155
18,FERNANDO VIDEIRA LAFAYETTE,128.0,HUGO LUIZ PICOLI MENEGHEL,160
19,FERNANDO VIDEIRA LAFAYETTE,111.0,HUGO LUIZ PICOLI MENEGHEL,99
20,FERNANDO VIDEIRA LAFAYETTE,159.0,HUGO LUIZ PICOLI MENEGHEL,170
21,FERNANDO VIDEIRA LAFAYETTE,204.0,HUGO LUIZ PICOLI MENEGHEL,184
22,FERNANDO VIDEIRA LAFAYETTE,176.0,HUGO LUIZ PICOLI MENEGHEL,182
23,FERNANDO VIDEIRA LAFAYETTE,192.0,HUGO LUIZ PICOLI MENEGHEL,165
24,FERNANDO VIDEIRA LAFAYETTE,120.0,HUGO LUIZ PICOLI MENEGHEL,176
25,FERNANDO VIDEIRA LAFAYETTE,202.0,HUGO LUIZ PICOLI MENEGHEL,136
26,FERNANDO VIDEIRA LAFAYETTE,82.0,HUGO LUIZ PICOLI MENEGHEL,110
27,FERNANDO VIDEIRA LAFAYETTE,164.0,HUGO LUIZ PICOLI MENEGHEL,141
28,FERNANDO VIDEIRA LAFAYETTE,112.0,HUGO LUIZ PICOLI MENEGHEL,111
29,FERNANDO VIDEIRA LAFAYETTE,144.0,HUGO LUIZ PICOLI MENEGHEL,179
30,FERNANDO VIDEIRA LAFAYETTE,180.0,HUGO LUIZ PICOLI MENEGHEL,140
31,FERNANDO VIDEIRA LAFAYETTE,174.0,HUGO LUIZ PICOLI MENEGHEL,154
33,,,HUGO LUIZ PICOLI MENEGHEL,141
34,FERNANDO VIDEIRA LAFAYETTE,151.0,HUGO LUIZ PICOLI MENEGHEL,153
35,FERNANDO VIDEIRA LAFAYETTE,150.0,HUGO LUIZ PICOLI MENEGHEL,131
37,FERNANDO VIDEIRA LAFAYETTE,109.0,HUGO LUIZ PICOLI MENEGHEL,155
38,,,HUGO LUIZ PICOLI MENEGHEL,169
39,,,HUGO LUIZ PICOLI MENEGHEL,179
40,FERNANDO VIDEIRA LAFAYETTE,138.0,HUGO LUIZ PICOLI MENEGHEL,155
41,FERNANDO VIDEIRA LAFAYETTE,125.0,HUGO LUIZ PICOLI MENEGHEL,138
85,FERNANDO VIDEIRA LAFAYETTE,166.0,HUGO LUIZ PICOLI MENEGHEL,155
96,,,HUGO LUIZ PICOLI MENEGHEL,56
98,,,HUGO LUIZ PICOLI MENEGHEL,43
